KakaoTalk Chats with 아기공주민희❤
Date Saved : July 3, 2020, 2:12 p.m.


July 18, 2019, 7:55 p.m., 아기공주민희❤ : 어케 기억을 못햌ㅋㅋㅋㅋㅋㅋ
July 18, 2019, 7:55 p.m., you : 오늘도 ㄱ?
July 18, 2019, 7:55 p.m., 아기공주민희❤ : 고?
July 18, 2019, 7:55 p.m., 아기공주민희❤ : Emoticons
July 18, 2019, 7:55 p.m., you : 고고
July 18, 2019, 7:56 p.m., 아기공주민희❤ : 레알루다가?
July 18, 2019, 8:10 p.m., you : 민희
July 18, 2019, 8:10 p.m., you : 무서워
July 18, 2019, 8:10 p.m., you : ㅜㅜ
July 18, 2019, 8:10 p.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 18, 2019, 8:10 p.m., 아기공주민희❤ : 아니 왜옄ㅋㅋㅋㅋㅋ
July 18, 2019, 8:11 p.m., you : 아 남자 만나고싶다고오오!!!!!!!!!
July 18, 2019, 8:11 p.m., you : ㅜㅜㅠㅠㅠ
July 18, 2019, 8:11 p.m., you : 나 혼남
July 18, 2019, 8:12 p.m., 아기공주민희❤ : 여자친구한테??
July 18, 2019, 8:13 p.m., 아기공주민희❤ : 소개시켜달라구여.....
July 18, 2019, 8:13 p.m., you : 응?
July 18, 2019, 8:13 p.m., you : 아 내여친을
July 18, 2019, 8:13 p.m., you : 민희한테
July 18, 2019, 8:13 p.m., you : 소개시켜달라구????
July 18, 2019, 8:13 p.m., 아기공주민희❤ : 아니
July 18, 2019, 8:13 p.m., 아기공주민희❤ : 그럴리가요
July 18, 2019, 8:13 p.m., you : 에이 안되지 인생 ㅈ될일있나
July 18, 2019, 8:13 p.m., 아기공주민희❤ : 남자 소개시켜달라고...
July 18, 2019, 8:13 p.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
July 18, 2019, 8:13 p.m., you : 아아
July 18, 2019, 8:13 p.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋ
July 18, 2019, 8:13 p.m., you : 남자 개많아
July 18, 2019, 8:14 p.m., you : 널린게남자야
